season,date,home,opponent,location_text,result_text,cnu_pts,opp_pts,cnu_fgm,cnu_fga,cnu_orb,cnu_drb,cnu_trb,cnu_to,opp_fgm,opp_fga,opp_orb,opp_drb,opp_trb,opp_to,cnu_first_half,opp_first_half,ot,box_url,win,goal_reb,goal_to,goal_orb,goal_def30,goals_hit
2010-2011,2011-02-25,0,Ferrum,"Ferrum, Va.","Ferrum 87, Christopher Newport 81",81,87,29,63,16,25,41,18,31,61,8,22,30,12,36,42,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm27.htm,0,1,0,1,0,2
2010-2011,2011-02-22,1,Shenandoah,"Freeman Center; Newport News, Va.","Christopher Newport 84, Shenandoah 66",84,66,30,65,15,39,54,13,24,69,10,24,34,12,31,33,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm26.htm,1,1,0,1,0,2
2010-2011,2011-02-19,1,"Greensboro College 11-14,","Freeman Center; Newport News, Va.","Christopher Newport 55, Greensboro College 52",55,52,16,51,10,25,35,11,21,49,6,27,33,17,17,20,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm25.htm,1,1,1,0,1,3
2010-2011,2011-02-18,1,"Methodist 9-15,","Freeman Center; Newport News, Va.","Christopher Newport 87, Methodist 72",87,72,24,57,11,35,46,14,28,81,22,24,46,13,37,29,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm24.htm,1,0,0,0,1,1
2010-2011,2011-02-13,0,"19 Ferrum 21-3, 10-1 USAS","Ferrum, Va.","#19 Ferrum 95, Christopher Newport 83",83,95,31,73,18,29,47,15,30,62,9,29,38,9,37,19,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm23.htm,0,1,0,1,1,3
2010-2011,2011-02-12,0,Averett 2-21 (0-10),"Danville, Va. (Grant Center)","Christopher Newport 77, Averett 63",77,63,24,51,11,22,33,13,20,55,19,22,41,17,36,33,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm22.htm,1,0,1,1,0,2
2010-2011,2011-02-06,1,Roanoke,"Freeman Center; Newport News, Va.","Christopher Newport 86, Roanoke 78",86,78,33,80,16,35,51,10,29,77,15,33,48,12,46,39,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm21.htm,1,1,1,0,0,2
2010-2011,2011-02-05,1,"N.C. Wesleyan 15-6,","Freeman Center; Newport News, Va.","N.C. Wesleyan 70, Christopher Newport 68",68,70,27,66,15,32,47,19,27,69,14,26,40,15,24,26,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm20.htm,0,1,0,0,1,2
2010-2011,2011-02-01,1,11 Randolph-Macon,"Freeman Center; Newport News, Va.","#11 Randolph-Macon 67, Christopher Newport 49",49,67,19,50,8,26,34,17,23,58,12,25,37,11,17,11,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm19.htm,0,0,0,0,1,1
2010-2011,2011-01-27,0,"Shenandoah Hornets 3-15,","Winchester, Va. - Shingleton Gymnasium","Christopher Newport 75, Shenandoah Hornets 52",75,52,26,56,15,38,53,20,20,63,14,17,31,13,39,28,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm18.htm,1,1,0,1,1,3
2010-2011,2011-01-23,0,"Methodist 7-11,","Fayetteville, NC","Chris. Newport 77, Methodist 74",77,74,25,54,8,30,38,10,23,56,8,28,36,16,28,37,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm17.htm,1,1,1,0,0,2
2010-2011,2011-01-22,0,"Greensboro College 7-8,","Greensboro, NC","CNU Captains 77, Greensboro College 71",77,71,29,56,10,26,36,14,28,61,13,21,34,8,43,36,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm16.htm,1,1,0,0,0,1
2010-2011,2011-01-18,1,"Averett 2-16,","Newport News, Va.; Freeman Center","Christopher Newport 80, Averett 42",80,42,26,60,14,37,51,17,11,50,7,23,30,21,31,19,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm15.htm,1,1,1,1,1,4
2010-2011,2011-01-15,1,"22 Ferrum 14-2,","Freeman Center; Newport News, Va.","Christopher Newport 80, #22 Ferrum 67",80,67,23,52,10,31,41,15,22,63,17,20,37,17,37,22,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm14.htm,1,1,1,0,1,3
2010-2011,2011-01-12,0,"N.C. Wesleyan 10-5, 2-0 USAS","Rocky Mount, NC (Everett Gymnasium)","N.C. Wesleyan 90, Chris. Newport 86",86,90,34,73,16,32,48,16,34,69,10,26,36,11,48,44,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm13.htm,0,1,0,1,0,2
2010-2011,2011-01-05,1,"Shenandoah 1-10,","Freeman Center; Newport News, Va.","Christopher Newport 82, Shenandoah 75",82,75,35,71,11,28,39,4,28,60,7,30,37,9,39,35,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm12.htm,1,1,1,0,0,2
2010-2011,2010-12-30,1,Wesley,"Freeman Center; Newport News, Va.","Christopher Newport 79, Wesley 70",79,70,25,58,12,33,45,10,22,67,16,33,49,7,41,32,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm11.htm,1,0,0,0,0,0
2010-2011,2010-12-29,1,Frostburg State,"Freeman Center; Newport News, Va.","Christopher Newport 71, Frostburg State 68",71,68,22,56,20,27,47,19,18,58,17,22,39,15,24,30,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm10.htm,1,1,0,1,0,2
2010-2011,2010-12-19,0,Frostburg State,"Frostburg, Md. - Bobcat Arena","Frostburg State 95, Christopher Newport 91",91,95,35,65,10,17,27,16,30,53,10,24,34,22,34,52,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm09.htm,0,0,1,0,0,1
2010-2011,2010-12-17,0,Lynchburg College,"Lynchburg, VA","Christopher Newport 82, Lynchburg College 77",82,77,31,66,11,27,38,17,29,71,18,30,48,19,30,36,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm08.htm,1,0,1,0,0,1
2010-2011,2010-12-13,0,Mary Washington,"Fredericksburg, Va.","Mary Washington 78, Christopher Newport 75",75,78,27,63,14,29,43,16,23,59,13,27,40,13,29,38,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm07.htm,0,1,0,0,0,1
2010-2011,2010-12-01,0,14 St. Mary's (Md.),"St. Mary's City, Md. - O'Brien ARC Arena","#14 St. Mary's (Md.) 86, Chris. Newport 67",67,86,25,54,11,20,31,20,30,59,15,23,38,20,30,14,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm06.htm,0,0,0,0,1,1
2010-2011,2010-11-27,1,Wesley,"Freeman Center; Newport News, Va.","Christopher Newport 83, Wesley 79",83,79,26,50,13,24,37,19,28,65,18,17,35,15,35,34,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm05.htm,1,1,0,1,0,2
2010-2011,2010-11-26,1,Bridgewater,"Freeman Center; Newport News, Va.","Christopher Newport 87, Bridgewater 73",87,73,26,51,14,33,47,19,27,65,10,20,30,13,43,26,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm04.htm,1,1,0,1,1,3
2010-2011,2010-11-23,0,12 Virginia Wesleyan,Virginia Beach/Jane P.Batten Center,"#12 Virginia Wesleyan 79, Christopher Newport 57",57,79,18,39,4,23,27,18,29,65,18,25,43,10,22,12,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm03.htm,0,0,0,0,1,1
2010-2011,2010-11-20,1,St. John Fisher,"Freeman Center; Newport News, Va.","Christopher Newport 69, St. John Fisher 65",69,65,26,59,6,24,30,13,21,53,9,32,41,22,38,30,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm02.htm,1,0,1,0,0,1
2010-2011,2010-11-19,1,Lynchburg,"Freeman Center; Newport News, Va.","Christopher Newport 108, Lynchburg 100",108,100,35,76,17,31,48,17,40,84,18,31,49,27,34,41,0,https://static.cnusports.com/custompages/mbball/Stats/2010-2011/cnumgm01.htm,1,0,1,1,0,2
2011-2012,2012-03-02,0,Western Connecticut,"Lancaster, Pa.","Western Connecticut 94, Christopher Newport 84",84,94,32,65,9,28,37,13,31,73,15,29,44,13,38,36,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm28.htm,0,0,0,0,0,0
2011-2012,2012-02-26,1,Greensboro College,"Freeman Center; Newport News, Va.","Christopher Newport 82, Greensboro College 72",82,72,30,48,4,25,29,19,26,57,7,20,27,22,25,31,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm27.htm,1,1,1,0,0,2
2011-2012,2012-02-24,1,Methodist,"Freeman Center; Newport News, Va.","Christopher Newport 97, Methodist 62",97,62,35,66,9,33,42,8,23,72,18,23,41,13,38,33,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm26.htm,1,1,1,0,0,2
2011-2012,2012-02-18,1,"Averett 7-18,","Freeman Center; Newport News, Va.","Christopher Newport 99, Averett 95",99,95,32,65,11,26,37,16,33,77,23,26,49,15,42,43,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm25.htm,1,0,0,0,0,0
2011-2012,2012-02-15,0,"Shenandoah Hornets 4-20,","Winchester, Va. - Shingleton Gymasium","Chris. Newport Capta 69, Shenandoah Hornets 60",69,60,22,59,16,29,45,15,23,56,9,29,38,18,24,30,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm24.htm,1,1,1,1,0,3
2011-2012,2012-02-11,1,"Greensboro College 14-9,","Freeman Center; Newport News, Va.","Christopher Newport 106, Greensboro College 79",106,79,34,61,15,21,36,14,29,63,17,15,32,17,45,33,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm23.htm,1,1,1,1,0,3
2011-2012,2012-02-05,0,"Ferrum 13-9, 6-4 USA So","Ferrum, Va.","Christopher Newport 85, Ferrum 78",85,78,32,61,17,20,37,14,31,63,13,18,31,12,38,46,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm22.htm,1,1,0,1,0,2
2011-2012,2012-01-31,1,"N.C. Wesleyan 9-10,","Freeman Center; Newport News, Va.","Christopher Newport 73, N.C. Wesleyan 71",73,71,26,60,10,24,34,11,26,67,20,29,49,16,39,26,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm21.htm,1,0,1,0,1,2
2011-2012,2012-01-28,1,5 Va. Wesleyan,"Ted Constant Center; Norfolk, Va.","#5 Va. Wesleyan 89, Christopher Newport 74",74,89,27,61,11,29,40,16,33,70,9,27,36,9,36,5,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm20.htm,0,1,0,0,1,2
2011-2012,2012-01-25,0,Averett 6-12 (1-5),"Danville, Va. (Grant Center)","Christopher Newport 91, Averett 72",91,72,35,73,19,28,47,14,20,59,13,21,34,15,43,25,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm19.htm,1,1,1,1,1,4
2011-2012,2012-01-23,1,Salisbury,"Freeman Center; Newport News, Va.","Christopher Newport 81, Salisbury 65",81,65,27,52,11,24,35,16,25,60,13,18,31,20,39,36,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm18.htm,1,1,1,1,0,3
2011-2012,2012-01-21,0,"Greensboro College 12-5, 4-1 USAS","Greensboro, N.C. (Hanes Gym)","Christopher Newport 91, Greensboro College 69",91,69,33,67,18,37,55,16,27,78,16,22,38,12,40,41,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm17.htm,1,1,0,1,0,2
2011-2012,2012-01-18,1,"Shenandoah 4-14,","Freeman Center; Newport News, Va.","Christopher Newport 77, Shenandoah 58",77,58,26,63,20,34,54,13,21,51,3,23,26,14,35,28,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm16.htm,1,1,1,1,1,4
2011-2012,2012-01-14,1,"Ferrum 9-6,","Freeman Center; Newport News, Va.","Christopher Newport 107, Ferrum 79",107,79,39,64,12,32,44,20,29,77,18,15,33,15,49,34,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm15.htm,1,1,0,1,0,2
2011-2012,2012-01-11,1,"Methodist 3-12,","Freeman Center; Newport News, Va.","Christopher Newport 77, Methodist 70",77,70,23,68,21,30,51,16,24,59,10,27,37,14,37,29,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm14.htm,1,1,0,1,1,3
2011-2012,2012-01-07,0,"N.C. Wesleyan 6-7, 0-1 USAS","Rocky Mount, N.C. (Everett Gym)","Christopher Newport 84, N.C. Wesleyan 56",84,56,30,64,17,29,46,15,20,55,11,25,36,18,48,30,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm13.htm,1,1,1,1,0,3
2011-2012,2012-01-04,0,"Methodist 3-10,","Fayetteville, N.C.","Christopher Newport 80, Methodist 75",80,75,30,74,19,30,49,15,24,68,21,30,51,17,37,26,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm12.htm,1,0,1,1,1,3
2011-2012,2011-12-30,1,McDaniel,"Freeman Center; Newport News, Va.","Christopher Newport 64, McDaniel 46",64,46,21,51,10,30,40,13,13,52,15,24,39,19,36,15,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm11.htm,1,1,1,0,1,3
2011-2012,2011-12-29,1,Piedmont College,"Freeman Center; Newport News, Va.","Christopher Newport 95, Piedmont College 63",95,63,32,73,16,34,50,10,24,66,13,29,42,19,33,35,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm10.htm,1,1,1,0,0,2
2011-2012,2011-12-18,0,LaGrange College,"LaGrange, Ga.","Christopher Newport 97, LaGrange College 83",97,83,35,71,22,24,46,14,28,61,16,21,37,21,50,36,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm09.htm,1,1,1,1,0,3
2011-2012,2011-12-16,0,Piedmont College,"Demorest, GA - Cave Arena","Christopher Newport Uni. 94, Piedmont College 70",94,70,35,79,13,37,50,9,23,70,16,31,47,20,50,43,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm08.htm,1,1,1,0,0,2
2011-2012,2011-12-01,1,St. Mary's (Md.),"Freeman Center; Newport News, Va.","St. Mary's (Md.) 85, Christopher Newport 77",77,85,30,56,14,17,31,18,28,57,14,17,31,18,36,39,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm07.htm,0,0,0,1,0,1
2011-2012,2011-11-27,1,Washington & Lee,"Freeman Center; Newport News, Va.","Christopher Newport 76, Washington & Lee 66",76,66,28,70,16,30,46,12,21,58,11,30,41,16,36,37,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm06.htm,1,1,1,0,0,2
2011-2012,2011-11-25,1,Wesley,"Freeman Center; Newport News, Va.","Christopher Newport 89, Wesley 80",89,80,26,60,14,30,44,12,22,61,15,26,41,14,47,37,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm05.htm,1,1,1,1,0,3
2011-2012,2011-11-21,1,Mary Washington,"Freeman Center; Newport News, Va.","Mary Washington 86, Christopher Newport 82",82,86,33,70,16,26,42,22,29,65,12,24,36,16,43,47,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm04.htm,0,1,0,1,0,2
2011-2012,2011-11-19,1,York (N.Y.),"Fredericksburg, Va.","Christopher Newport 65, York (N.Y.) 56",65,56,21,54,13,26,39,12,16,43,14,26,40,16,30,19,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm03.htm,1,0,1,0,1,2
2011-2012,2011-11-18,0,Mary Washington,"Fredericksburg, Va.","Christopher Newport 74, Mary Washington 72",74,72,25,56,13,38,51,27,24,70,15,27,42,18,23,35,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm02.htm,1,1,0,1,0,2
2011-2012,2011-11-15,0,Randolph-Macon,"Ashland, Va.","Randolph-Macon 90, Christopher Newport 88",88,90,28,61,14,30,44,19,33,67,9,25,34,17,38,41,0,https://static.cnusports.com/custompages/mbball/Stats/2011-2012/cnumgm01.htm,0,1,0,1,0,2
2012-2013,2013-03-09,0,Virginia Wesleyan,Virginia Beach/The Batten Center,"Virginia Wesleyan 80, Chris. Newport 69",69,80,27,59,10,22,32,10,27,57,12,26,38,10,27,31,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm28.htm,0,0,0,0,0,0
2012-2013,2013-03-02,1,Rutgers-Newark,"Newport News, Va. (Freeman Center)","Chris. Newport 84, Rutgers-Newark 72",84,72,26,58,10,32,42,9,27,67,13,28,41,11,37,24,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm27.htm,1,1,1,0,1,3
2012-2013,2013-02-23,1,Greensboro,"Fayetteville, N.C. (Crown Center Arena)","Chris. Newport 81, Greensboro 74",81,74,27,56,11,29,40,16,25,63,11,19,30,11,39,26,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm26.htm,1,1,0,0,1,2
2012-2013,2013-02-22,1,N.C. Wesleyan,"Fayetteville, N.C. (Crown Center Arena)","Chris. Newport 72, N.C. Wesleyan 59",72,59,25,60,16,30,46,11,23,68,18,24,42,10,35,22,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm25.htm,1,1,0,1,1,3
2012-2013,2013-02-21,1,Averett,"Fayetteville, N.C. (Crown Center Arena)","Chris. Newport 74, Averett 58",74,58,29,59,10,32,42,14,19,60,13,24,37,15,32,24,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm24.htm,1,1,1,0,1,3
2012-2013,2013-02-17,0,"Ferrum 13-10,10-4 USAS","Ferrum, VA","Chris. Newport 76, Ferrum 52",76,52,28,52,8,27,35,11,18,53,11,18,29,13,39,19,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm23.htm,1,1,1,0,1,3
2012-2013,2013-02-16,0,Averett 9-15 (4-9),"Grant Center (Danville, Va.)","Chris. Newport 77, Averett 56",77,56,30,53,9,31,40,10,19,55,8,17,25,7,38,28,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm22.htm,1,1,0,0,1,2
2012-2013,2013-02-13,1,"N.C. Wesleyan 15-10,","Newport News, Va. (Freeman Center)","Chris. Newport 93, N.C. Wesleyan 67",93,67,31,68,15,25,40,9,23,64,17,26,43,21,52,38,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm21.htm,1,0,1,1,0,2
2012-2013,2013-02-09,0,"LaGrange 10-10, 3-8 USAS","LaGrange, Ga.","LaGrange 73, Chris. Newport 68",68,73,30,67,9,24,33,11,27,61,18,29,47,14,34,32,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm20.htm,0,0,1,0,0,1
2012-2013,2013-02-04,1,Va. Wesleyan,"Newport News, Va. (Freeman Center)","Va. Wesleyan 79, Chris. Newport 66",66,79,24,64,12,28,40,4,29,63,10,33,43,9,32,47,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm19.htm,0,0,1,0,0,1
2012-2013,2013-02-02,1,Greensboro 11-8 (5-5),"Newport News, Va. (Freeman Center)","Greensboro 72, Chris. Newport 69",69,72,24,63,19,32,51,18,27,61,6,25,31,13,26,40,0,https://static.cnusports.com/custompages/mbball/Stats/2012-2013/cnumgm18.htm,0,1,0,1,0,2
